BiomarkerId,BiomarkerName,DiseaseCui,DiseaseName
C0003968,Ascorbic Acid,C0242379,Malignant neoplasm of lung
C0006657,25-Hydroxycholecalciferol,C0242379,Malignant neoplasm of lung
C0007271,Carotenoids,C0242379,Malignant neoplasm of lung
C0017054,gamma-Tocopherol,C0242379,Malignant neoplasm of lung
C0019878,Homocysteine,C0242379,Malignant neoplasm of lung
C0022179,Isoflavones,C0242379,Malignant neoplasm of lung
C0034266,pyridoxal phosphate,C0242379,Malignant neoplasm of lung
C0035527,Riboflavin,C0242379,Malignant neoplasm of lung
C0036581,Selenium,C0242379,Malignant neoplasm of lung
C0042845,Vitamin B12,C0242379,Malignant neoplasm of lung
C0051336,alpha-carotene,C0242379,Malignant neoplasm of lung
C0053396,beta-Carotene,C0242379,Malignant neoplasm of lung
C0057090,daidzein,C0242379,Malignant neoplasm of lung
C0059497,Equol,C0242379,Malignant neoplasm of lung
C0061202,Genistein,C0242379,Malignant neoplasm of lung
C0065331,Lycopene,C0242379,Malignant neoplasm of lung
C0087161,Retinol,C0242379,Malignant neoplasm of lung
C0178638,folate,C0242379,Malignant neoplasm of lung
C0253391,glycitein,C0242379,Malignant neoplasm of lung
C0552327,Beta+gamma tocopherol,C0242379,Malignant neoplasm of lung
C0896117,Beta-Cryptoxanthin,C0242379,Malignant neoplasm of lung
C0969677,alpha-Tocopherol,C0242379,Malignant neoplasm of lung
C2929534,lutein / zeaxanthin,C0242379,Malignant neoplasm of lung
C3255108,Tocopherols,C0242379,Malignant neoplasm of lung
